IDMancha;has;cob;pend;UP;inc;prmen35
327;40.35;95.00;49.50;5;1;0.17
329;21.50;95.00;40.86;3;1;0.10
330;50.30;100.00;36.51;1;1;0.23
332;8.61;100.00;42.21;3;1;0.00
336;72.84;95.00;64.73;4;1;0.05
344;3.55;100.00;19.24;55;1;0.98
346;23.45;95.00;58.39;15;1;0.05
347;10.07;95.00;32.11;16;1;0.33
348;24.37;100.00;40.77;16;1;0.25
349;9.95;95.00;36.17;16;1;0.72
353;3.52;100.00;21.51;31;1;0.60
354;1.92;100.00;24.54;16;1;1.00
355;8.13;100.00;50.56;4;1;0.22
356;3.53;100.00;32.69;4;1;0.07
357;12.35;100.00;32.31;47;1;0.38
358;20.50;95.00;44.74;47;1;0.03
359;21.84;100.00;41.96;25;1;0.54
361;10.90;100.00;32.19;24;1;0.74
363;7.61;100.00;53.52;27;1;0.13
364;10.81;100.00;30.37;13;1;0.15
365;4.03;100.00;41.24;56;1;0.00
368;32.59;100.00;49.13;23;1;0.29
369;13.77;95.00;22.47;17;1;0.16
370;9.06;100.00;22.99;17;1;0.98
371;23.67;100.00;54.13;18;1;0.28
372;24.58;95.00;23.94;20;1;0.66
373;26.95;100.00;59.75;14;1;0.23
376;18.92;100.00;52.97;15;1;0.31
377;9.89;100.00;57.77;1;1;0.12
378;8.98;95.00;63.07;14;1;0.30
379;7.40;70.00;17.11;11;1;0.87
380;43.08;100.00;46.01;25;1;0.27
381;1.22;100.00;20.02;1;1;0.20
382;9.99;100.00;40.27;1;1;0.25
383;15.46;95.00;56.29;1;1;0.11
384;4.74;100.00;35.88;1;1;0.02
385;15.27;90.00;65.42;3;1;0.13
386;4.64;95.00;62.82;3;1;0.02
387;12.60;100.00;71.20;1;1;0.20
388;10.53;100.00;61.52;50;1;0.00
389;24.48;100.00;62.26;50;1;0.02
390;25.32;95.00;54.48;47;1;0.19
391;9.90;100.00;44.27;46;1;0.44
392;3.06;100.00;23.90;31;1;0.00
393;1.25;100.00;51.40;29;1;0.00
394;5.50;95.00;44.91;29;1;0.02
395;1.25;95.00;35.40;29;1;0.94
396;5.53;95.00;51.69;29;1;0.00
397;1.61;100.00;53.12;29;1;0.00
398;1.17;95.00;38.69;29;1;0.00
399;1.84;95.00;26.18;3;1;0.20
400;5.66;95.00;47.09;3;1;0.00
401;3.39;100.00;23.90;5;1;0.47
402;13.06;95.00;60.15;3;1;0.08
403;16.85;95.00;59.90;5;1;0.20
404;2.11;100.00;29.96;26;1;0.26
405;1.42;100.00;15.58;50;1;0.78
406;2.60;90.00;27.71;47;1;0.04
407;7.66;95.00;42.72;21;1;0.23
408;3.24;100.00;45.45;23;1;0.07
409;2.48;100.00;26.50;24;1;0.65
410;15.08;100.00;57.70;6;1;0.14
411;1.12;100.00;33.54;52;1;0.39
412;6.46;100.00;14.25;58;1;0.36
413;3.93;100.00;8.04;60;1;0.61
414;3.48;100.00;24.19;61;1;0.08
415;1.58;100.00;22.82;59;1;0.70
416;1.47;100.00;43.56;63;1;0.08
417;2.39;100.00;41.49;64;1;0.05
418;2.39;100.00;38.53;5;1;0.13
419;0.83;100.00;48.79;5;1;0.75
420;19.28;100.00;40.26;6;1;0.15
421;2.32;100.00;16.47;65;1;0.37
422;4.37;100.00;29.33;5;1;0.18
423;4.59;100.00;38.54;67;1;0.23
424;1.22;100.00;8.18;69;1;0.25
425;1.78;100.00;43.10;67;1;0.45
426;5.04;95.00;56.19;67;1;0.13
427;108.18;100.00;34.84;35;1;0.69
428;13.06;100.00;37.18;35;1;0.71
429;6.35;100.00;67.54;45;1;0.19
430;3.24;100.00;44.27;10;1;0.65
431;3.55;100.00;38.08;43;1;0.38
432;3.39;100.00;29.40;41;1;0.00
433;2.01;100.00;35.61;39;1;0.00
434;1.74;100.00;28.71;42;1;0.00
435;4.62;100.00;35.59;40;1;0.01
436;1.53;100.00;36.10;42;1;0.65
437;3.24;100.00;41.30;38;1;0.01
438;2.00;100.00;35.20;42;1;0.12
439;1.86;100.00;53.71;42;1;0.00
440;1.07;100.00;23.48;48;1;0.00
441;1.23;100.00;46.73;3;1;0.00
442;0.88;100.00;56.40;3;1;0.28
443;1.04;100.00;42.81;1;1;0.00
444;40.80;100.00;48.61;18;1;0.25
445;69.75;80.00;103.80;28;1;0.22
446;79.79;100.00;55.95;13;1;0.29
447;0.92;100.00;38.26;67;1;0.26
448;2.23;100.00;32.77;13;1;0.22
449;2.28;80.00;84.07;13;1;0.43
450;1.06;100.00;34.39;34;1;0.00
451;0.19;100.00;34.90;33;1;0.94
452;19.22;100.00;36.63;31;1;0.16
453;5.96;95.00;25.30;31;1;0.00
454;88.30;100.00;53.70;1;1;0.21
455;85.81;100.00;57.66;3;1;0.11
456;1.20;100.00;27.50;3;1;0.00
457;18.32;100.00;63.83;3;1;0.33
458;1.95;100.00;51.86;6;1;0.00
459;10.61;100.00;69.93;6;1;0.08
460;13.26;95.00;53.63;6;1;0.03
461;11.72;95.00;64.48;14;1;0.14
462;8.01;100.00;54.23;67;1;0.24
463;15.34;100.00;49.77;18;1;0.47
464;16.03;100.00;47.91;15;1;0.15
465;29.40;100.00;50.40;21;1;0.19
466;21.22;100.00;57.99;19;1;0.05
467;39.27;100.00;58.16;23;1;0.21
468;42.24;95.00;81.00;14;1;0.10
469;7.28;100.00;60.95;37;1;0.48
470;9.29;100.00;60.18;70;1;0.01
471;9.78;100.00;45.74;49;1;0.35
472;8.89;100.00;61.92;53;1;0.24
473;2.55;90.00;24.14;44;1;0.12

